"ID","Name","Talk Title","Abstract","Track"
"2016.Abraham.Gadalla.Save.your.time.and.your","Abraham Gadalla","Save your time and your students time by using Mathematica for learning and teaching.","This presentation demonstrates samples of Algebra, Geometry, precalculus, and Calculus that I used with my students and made them love and enjoy math so much that some of them decided to be math teachers and professors in mathematics at different universities including Berlin (Germany). With Mathematica you can have the love, the excitements, the enthusiasm, and the exploration of the mathematical concepts as well as their applications while saving you time. In short, Mathematica is the way it should be for teaching and learning. Keep the dynamic interaction instead of the boring slides with Power Point, or any other software.","Education"
"2016.George.Danner.Talking.to.Models","George Danner","Talking to Models","What if we could interact with our Wolfram Language-based applications verbally? What if we could say, for example, ""Give me the Fibonacci Number 10"", rather than type Fibonacci[10] into Mathematica. What if we could call on any arbitrarily complex function written in the Wolfram Language? The Amazon Echo was released in early 2016 as a remarkable consumer device. Its audible natural language processing capabilities are excellent, answering a wide range of verbal questions and commands in Siri-like fashion. However, the even more remarkable aspect of Amazon Echo is its open architecture\[LongDash]allowing custom applications to be bolted onto the cloud-based Alexa Voice Service\[LongDash]including Wolfram Language code! In our talk we will demonstrate the connection between the Amazon Echo and an example Wolfram Language code fragment, and describe the integration process we followed.","Software Development"
"2016.Faisal.Whelpley.Automated.Test.Generator","Faisal Whelpley","Automated Test Generator","Netmath, an online math program at University of Illinois at Urbana-Champaign offers self-paced, rolling enrollment classes with paper-format exams as they remain an essential part of the current education landscape. For the first time, we are generating the exams using an application built with Wolfram Language. The automation process require a database of questions with dynamic values written in Mathematica notebooks. These questions are then consumed by a build process to fit into an exam template. This talk will showcase the automation process and some generated exams.","Education"
"2016.Enrique.Vílchez.Quesada.Vil.Cretas..package.educational","Enrique Vílchez Quesada","Vil Cretas ? package: educational resource through the use of Mathematica software in the field of discrete mathematics","The work focuses on showing the overall operation of a package designed by the author, oriented known commercial software Mathematica, intended to serve as educational support to develop each of the main themes of the course ""EIF-203 Discrete Structures for Computer "". The proposal is to be innovative in the absence of a computational tool for educational purposes, which holistically allow addressing content areas: recursion, recurrence relations, analysis of algorithms, relations, graph theory, theory of trees, machines and finite state automata and languages and grammars. At present most of the educational software in this field that is available in the market and academia, focuses only on purely graphic themes. The Vil Cretas ? package is conceived as a latent need in the chair of the course IFT-203 and similar courses at many universities both nationally and internationally, where discrete mathematics has become an obstacle to the student population. Vil Creta ? s aims in this direction, become a source of support to transform arid issues in conceptual visualization possibilities and autonomous construction.","Education"
"2016.Hee.Joong.Yun.Vectorial.Platform.for.Manipulating.Polarization","Hee-Joong Yun","Vectorial Platform for Manipulating Polarization Mode Train Realized with Jones Vectors in Mathematica","Fundamental concept in physics of polarization propagation of electromagnetic waves is newly understood to be a cardinal keyword in quantum cryptography transport technology and cosmology. Interactive visualization of the propagation mechanism of polarized electromagnetism in a medium with its helicity has received attention recently from scientists in the age of information and communication. > Here, we present a new dynamic polarization platform jdpmp4t with four lined up optical elements for more effective manipulation of polarization modes simulation with Jones vector in Mathematica. The platform simulates the polarization process of the Overscript[E, \[RightVector]] vector field together with that of the Overscript[B, \[RightVector]] vector field by using the Arrow function of Mathematica so that the platform might animate a transverse EM wave satisfying Maxwell' s wave equations every point on the advancing axes of the platform. Consequently, the vectors Overscript[E, \[RightVector]], Overscript[B, \[RightVector]], and Overscript[S, \[RightVector]] form a right - hand orthogonal set of field vectors. The platform can be manipulated one of four train modes interactively to advance the polarized mode while the user select one of modes at panel of platform. In addition, we shall demonstrate other vectorial Mathematica platforms such as EM field propagations, C oriolis force and whiskbroom pattern in Minkowski space.","Science, Engineering"
"2016.Takako.Soma.Modeling.Ternary.Parametron.Driven.by","Takako Soma","Modeling Ternary Parametron Driven by Impulsive Forcing","Ternary parametron (TPA) is a logical element consisting of a resonator whose three oscillation phases are controlled by the seed signals applied before the resonator is excited. It is known that TPA having just three oscillation phases is realized by impulsive forcing. One of the important characteristics of TPA as a logical element is the oscillation build-up speed. It is obtained by solving the differential equation describing the system. Mathematica is used to solve the equation by averaging method for both the binary and ternary parametrons.","Science, Engineering"
"2016.Joseph.Haley.Using.Directional.Bit.Sequences.to","Joseph Haley","Using Directional Bit Sequences to Reveal the Property-Liability Underwriting Cycle as an Algorithmic Process","This study presents a computational economics simulation of the property-liability insurance industry underwriting cycle. The simulation is built on downward-sloping demand, a simplistic version of the capacity constraint model, and a simple pricing rule. The pricing rule has each simulated insurer determine its price from the expected losses per-policy (a constant), the previous year’s policyholders’ surplus and the previous year’s number of customers. Through the use of directional bit sequences a common structure is revealed between the aggregate simulation results and the actual aggregate underwriting margin, 1930-2000. The common structure between these aggregate variables is evidence the property-liability underwriting cycle, in a consistent effort to reach equilibrium, follows an algorithmic process. Of further inference; the pursuit of equilibrium, as an attractor, is the only consistent characteristic of the algorithmically generated process. The times series b ehavior of the simulated underwriting margin, as it fluctuates around the equilibrium attractor, can assume a variety of shapes across many realizations of the algorithmic process. Finally, behavior of the simulated individual companies is not, for the most part, correlated with the aggregate behavior, and virtually all individual transactions are out-of-equilibrium transactions in the sense that they occur along the demand curve.","Data Analytics & Information Science"
"2016.Aneet.Dharmavaram.Narendranath.Dynamics.of.Thin.Liquid.Films","Aneet Dharmavaram Narendranath","Dynamics of Thin Liquid Films in Zero Gravity: Stabilization and Destabilization","Predicting dynamics of liquid films in zero gravity has significant applications for both space travel and terrestrial applications where gravity does not play an important role in comparison with other effects such as surface tension and thermocapillarity (changes in surface tension due to temperature gradients). A fourth order non-linear partial differential equation (Evolution equation) from the lubrication approximation in fluid dynamics, is applied to study the dynamics of liquid films in zero gravity, under the effect of an interplay between various stabilizing and destabilizing mechanisms. Previously, while using NDSolve to validate a custom high-resolution solver we discovered that the generic Mathematica PDE algorithms were sufficiently accurate and flexible to provide useful results for the challenging problem of tracking singularity formation which indicates rupture. We continue the usage of NDSolve to further this study. We shift our focus to thermocapillary f inger formation and their stabilization instead of rigorously studying rupture.","Science/Engineering"
"2016.Abby.Brown.High.School.Math.Teaching.","Abby Brown","High School Math Teaching & Programmer Training with Mathematica","High school students will present some of their project work with Mathematica. For 20 years Abby Brown has been using Mathematica with her students in high school math classes in San Diego, CA. She will speak from her extensive and unique experience on the highlights, lessons learned, and challenges of using Mathematica in a high school setting. Most recently, Brown and her students have connected with Augment LLC -- a company based in Minneapolis, MN. Augment trains college and high school students in programming and collaborative software development, using Mathematica as their training language. This talk will introduce Augment's training methodology and share some of the work done by Brown's students through their Augment training","Education"
