"geo_type","region","transportation_type","alternative_name","sub-region","country","Date","Value","DateObject","DayName"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-13",100,2020-01-13,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-14",103.87,2020-01-14,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-15",103.22,2020-01-15,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-16",101.75,2020-01-16,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-17",106.53,2020-01-17,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-18",111.11,2020-01-18,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-19",86.39,2020-01-19,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-20",94.04,2020-01-20,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-21",97.74,2020-01-21,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-22",100.73,2020-01-22,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-23",102.74,2020-01-23,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-24",113.45,2020-01-24,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-25",106.51,2020-01-25,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-26",85.48,2020-01-26,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-27",97.72,2020-01-27,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-28",101.79,2020-01-28,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-29",109.86,2020-01-29,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-30",103.53,2020-01-30,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-01-31",108.45,2020-01-31,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-01",107.8,2020-02-01,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-02",90.95,2020-02-02,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-03",99.54,2020-02-03,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-04",100.63,2020-02-04,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-05",109.81,2020-02-05,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-06",108.29,2020-02-06,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-07",111.49,2020-02-07,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-08",113.65,2020-02-08,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-09",91.03,2020-02-09,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-10",106.18,2020-02-10,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-11",105.99,2020-02-11,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-12",110.46,2020-02-12,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-13",112.38,2020-02-13,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-14",133.4,2020-02-14,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-15",136.33,2020-02-15,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-16",104.12,2020-02-16,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-17",113.56,2020-02-17,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-18",120.6,2020-02-18,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-19",117.77,2020-02-19,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-20",118.34,2020-02-20,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-21",121.86,2020-02-21,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-22",119.9,2020-02-22,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-23",102.55,2020-02-23,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-24",111.55,2020-02-24,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-25",112.35,2020-02-25,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-26",107.12,2020-02-26,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-27",104.34,2020-02-27,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-28",105.37,2020-02-28,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-02-29",98.22,2020-02-29,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-01",82.35,2020-03-01,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-02",92.36,2020-03-02,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-03",100.31,2020-03-03,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-04",100.24,2020-03-04,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-05",99.6,2020-03-05,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-06",109.53,2020-03-06,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-07",109.06,2020-03-07,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-08",84.4,2020-03-08,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-09",94.38,2020-03-09,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-10",93.82,2020-03-10,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-11",95.1,2020-03-11,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-12",86.62,2020-03-12,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-13",84.67,2020-03-13,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-14",80.16,2020-03-14,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-15",48.83,2020-03-15,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-16",54.13,2020-03-16,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-17",31.39,2020-03-17,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-18",25.02,2020-03-18,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-19",25.6,2020-03-19,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-20",24.08,2020-03-20,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-21",18.09,2020-03-21,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-22",16.36,2020-03-22,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-23",24.95,2020-03-23,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-24",24.14,2020-03-24,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-25",23.24,2020-03-25,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-26",24.02,2020-03-26,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-27",24.98,2020-03-27,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-28",20.72,2020-03-28,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-29",18.72,2020-03-29,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-30",24.55,2020-03-30,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-03-31",23.99,2020-03-31,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-01",25.27,2020-04-01,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-02",25.43,2020-04-02,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-03",26.14,2020-04-03,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-04",22.11,2020-04-04,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-05",21.43,2020-04-05,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-06",28.37,2020-04-06,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-07",27.88,2020-04-07,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-08",29.07,2020-04-08,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-09",28.88,2020-04-09,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-10",30.39,2020-04-10,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-11",23.89,2020-04-11,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-12",19.55,2020-04-12,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-13",22.24,2020-04-13,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-14",33.25,2020-04-14,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-15",33.15,2020-04-15,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-16",33.76,2020-04-16,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-17",33.54,2020-04-17,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-18",26.61,2020-04-18,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-19",23.55,2020-04-19,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-20",32.46,2020-04-20,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-21",34.6,2020-04-21,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-22",36.18,2020-04-22,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-23",35.6,2020-04-23,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-24",36.45,2020-04-24,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-25",28.3,2020-04-25,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-26",27.52,2020-04-26,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-27",37.75,2020-04-27,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-28",44.15,2020-04-28,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-29",44.86,2020-04-29,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-04-30",43.03,2020-04-30,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-01",32.81,2020-05-01,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-02",34.01,2020-05-02,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-03",32.64,2020-05-03,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-04",46.34,2020-05-04,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-05",47.21,2020-05-05,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-06",49.86,2020-05-06,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-07",49.33,2020-05-07,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-08",41.04,2020-05-08,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-09",40.32,2020-05-09,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-10",40.37,2020-05-10,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-13",76.8,2020-05-13,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-14",81.51,2020-05-14,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-15",84.97,2020-05-15,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-16",72.51,2020-05-16,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-17",62.35,2020-05-17,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-18",86.86,2020-05-18,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-19",89.87,2020-05-19,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-20",97.8,2020-05-20,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-21",87.79,2020-05-21,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-22",98.62,2020-05-22,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-23",87.67,2020-05-23,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-24",79.56,2020-05-24,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-25",95.22,2020-05-25,"Monday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-26",100.53,2020-05-26,"Tuesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-27",100.82,2020-05-27,"Wednesday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-28",101.08,2020-05-28,"Thursday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-29",103.79,2020-05-29,"Friday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-30",102.99,2020-05-30,"Saturday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-05-31",85.84,2020-05-31,"Sunday"
"city","Nice","driving","","Provence-Alpes-Côte d'Azur Region","France","2020-06-01",100.48,2020-06-01,"Monday"
